item,creatures,npc,npc_price,qty
Afflicted Strider Head,Afflicted Strider,Yasir,900,16-20
Afflicted Strider Worms,Afflicted Strider,Yasir,500,32-43
Alloy Legs,"Brachiodemon,Bulltaur Alchemist,Control Tower,Glooth Battery,Metal Gargoyle,Sorcerer's Apparition,Ghulosh,Katex Blood Tongue,Yirkas Blue Scales",Outro,11000,10-17
Amber Souvenir,"Quara Looter,Quara Plunderer,Quara Raider",Outro,850,40-42
Ancient Belt Buckle,"Broken Shaper,Twisted Shaper",Yasir,260,63-99
Ancient Stone,"Animated Ogre Brute,Eternal Guardian,Museum Stone Golem,Ogre Brute,Stone Devourer,Stone Golem,Ancient Spawn of Morgathla,The Last Lore Keeper,The Source of Corruption",Outro,200,105-192
Angelic Axe,"Humongous Fungus,Lucifuga Aranea,Mutated Tiger,Weretiger,Feroxa,Weakened Shlorg",Djinn,5000,13-19
Badger Boots,"Werebadger,Feroxa,Sharpclaw,The Baron from Below",Outro,7500,11-15
Banana Sash,"Merlkin,Sibang",Yasir,55,11-18
Basalt Crumbs,"Darklight Emitter,Wandering Pillar",Outro,3000,12-15
Basalt Fetish,"Lost Basher,Lost Exile,Lost Husher,Lost Thrower",Yasir,210,55-88
Basalt Figurine,"Lost Basher,Lost Exile,Lost Husher,Lost Thrower",Yasir,160,49-57
Bashmu Fang,"Bashmu,Juvenile Bashmu",Yasir,600,11-19
Bashmu Feather,"Bashmu,Juvenile Bashmu",Yasir,350,32-45
Bashmu Tongue,"Bashmu,Juvenile Bashmu",Yasir,400,25-50
Battle Shield,"Animated Cyclops,Assassin,Cyclops,Cyclops Drone,Cyclops Smith,Demon Skeleton,Dwarf Guard,Elf Overseer,Frost Giant,Frost Giantess,Gargoyle,Hellspawn,Memory of a Dwarf,Memory of a Pirate,Minotaur Guard,Mutated Bat,Orc Rider,Pirate Buccaneer,Undead Minion,War Golem,Foreman Kneebiter,General Murius,The Horned Fox",Outro,95,26-45
Black Shield,"Animated Mummy,Candy Horror,Furious Scorpion,Gloom Maw,Lost Basher,Lost Berserker,Magma Crawler,Mummy,Mutated Bat,Priestess,Sandstone Scorpion,Thanatursus,Werehyaena Shaman,Wiggler,Bruise Payne",Djinn,800,10-17
Blemished Spawn Abdomen,Blemished Spawn,Yasir,550,66-74
Blemished Spawn Head,Blemished Spawn,Yasir,800,32-41
Blemished Spawn Tail,Blemished Spawn,Yasir,1000,12-20
Bloated Maggot,Bloated Man-Maggot,Yasir,5200,10-20
Blood Amulet,Dworc Shadowstalker,Yasir,1230,30-50
Blood Hood,Norcferatu Nightweaver,Outro,1550,26-38
Blood Preservation,"Nightfiend,Vampire,Vampire Bride,Vampire Viscount,Vicious Manbat,Arachir The Ancient One,Arthei,Boreth,Diblis The Fair,Lersatio,The Pale Count,Vladrukh",Yasir,320,11-12
Blood Tincture in a Vial,"Blood Hand,Blood Priest",Yasir,360,27-33
Bloodshot Giant Eye,Orclops Bloodbreaker,Yasir,1820,28-48
Blue Goanna Scale,"Young Goanna,Yirkas Blue Scales",Yasir,230,43-48
Boar Man Hoof,Boar Man,Yasir,600,27-48
Boggy Dreads,"Bog Raider,Weakened Shlorg",Yasir,200,31-42
Bola,"Corym Charlatan,Corym Skirmisher,Corym Vanguard",Yasir,35,50-62
Bone Club,"Bonebeast,Corrupted Skeleton,Demon (Goblin),Dreadbeast,Goblin,Goblin Assassin,Goblin Leader,Goblin Scavenger,Muglex Clan Scavenger,Orger,Pirate Skeleton,Troll-Trained Salamander,Munster,Necropharus,Salamander Trainer",Outro,5,28-38
Bone Fetish,"Animated Ogre Shaman,Lost Basher,Lost Exile,Lost Husher,Ogre Sage,Ogre Shaman,Shaper Matriarch",Yasir,150,53-100
Bone Fibula,Orclops Bloodbreaker,Yasir,580,40-46
Bone Rattle,Dworc Shadowstalker,Yasir,790,39-47
Bone Shoulderplate,Draken Warmaster,Yasir,150,77-88
Bone Toothpick,"Orclops Bloodbreaker,Orclops Doomhauler,Orclops Ravager,Skeleton Elite Warrior",Yasir,150,64-64
Bonebreaker,"Animated Ogre Brute,Armadile,Diamond Servant,Diamond Servant Replica,Memory of an Ogre,Ogre Brute,War Golem,Werecrocodile,Werewolf,Worker Golem,Ancient Spawn of Morgathla,Darkfang,Feroxa,Ghazbaran,Hemming,Leviathan,Outburst,Ragiaz,The Shatterer,The Unarmored Voidborn,World Devourer,Zavarash",Djinn,10000,10-19
Bonecarving Knife,"Lost Basher,Lost Exile,Lost Husher",Yasir,190,31-46
Bony Tail,"Bonebeast,Ribstride",Yasir,210,36-41
Book of Necromantic Rituals,"Blood Hand,Blood Priest,Floating Savant,Necromancer,Necromancer Servant,Shadow Pupil,Necropharus",Yasir,180,61-100
Book Page,"Biting Book,Burning Book,Cursed Book,Energetic Book,Energuardian of Tales,Guardian of Tales,Icecold Book,Knowledge Elemental",Yasir,640,174-395
Book with a Dragon,"Bramble Wyrmling,Cinder Wyrmling,Inkwing",Yasir,1800,35-47
Book with an Hourglass,Headwalker,Yasir,1450,12-14
Bowl of Terror Sweat,"Feversleep,Shiversleep,Terrorsleep",Yasir,500,55-96
Brigadeiro,"Candy Horror,Sugar Daddy",Outro,2640,11-19
Brinebrute Claw,"Brinebrute Inferniarch,Malvaroth",Yasir,2600,107-131
Broadsword,"Afflicted Strider,Dragon,Orc Leader,Renegade Orc,Demodras,Dragon Hoard,Grand Mother Foulscale",Djinn,500,10-18
Broken Draken Mail,"Draken Elite,Paiz the Pauperizer",Outro,340,66-94
Broken Gladiator Shield,"Undead Elite Gladiator,Undead Gladiator",Outro,190,10-16
Broken Halberd,Lizard Legionnaire,Outro,100,50-84
Broken Mitmah Necklace,"Atab,Mitmah Scout,Mitmah Vanguard",Outro,210,58-92
Broken Slicer,"Draken Elite,Paiz the Pauperizer",Outro,120,121-166
Broken Throwing Axe,Lost Thrower,Outro,230,39-46
Broodrider Saddle,Broodrider Inferniarch,Yasir,2800,12-18
Buckle,"Lost Basher,Lost Exile,Lost Husher,Lost Thrower,Mycobiontic Beetle,Spiky Carnivor",Rashid,7000,12-20
Bulltaur Armor Scrap,Bulltaur Brute,Yasir,480,114-185
Bulltaur Hoof,Bulltaur Brute,Yasir,540,30-47
Bulltaur Horn,"Bulltaur Alchemist,Bulltaur Brute,Bulltaur Forgepriest",Yasir,385,69-80
Bundle of Cursed Straw,Blightwalker,Yasir,800,104-191
Carnisylvan Bark,"Dark Carnisylvan,Hulking Carnisylvan,Poisonous Carnisylvan",Yasir,230,295-318
Carnisylvan Finger,"Dark Carnisylvan,Hulking Carnisylvan,Poisonous Carnisylvan",Yasir,250,300-354
Carnivostrich Feather,Carnivostrich,Yasir,630,49-70
Cat's Paw,"Dark Torturer,Hemming,Mr. Punish,The Scourge of Oblivion",Yasir,2000,9-21
Cave Devourer Eyes,Cave Devourer,Yasir,550,101-179
Cave Devourer Legs,Cave Devourer,Yasir,350,101-134
Cave Devourer Maw,Cave Devourer,Yasir,600,101-168
Centipede Leg,Centipede,Yasir,28,36-44
Chain Leash,Gloom Maw,Yasir,970,31-50
Chaos Mace,"Animated Moohtant,Destroyer,Infernal Phantom,Juvenile Bashmu,Lost Basher,Lost Berserker,Moohtant,Nightstalker,Norcferatu Heartless,Alptramun,Anomaly,Bretzecutioner,Duke Krule,Ferumbras,Ferumbras Mortal Shell,Gorzindel,Izcandar Champion of Summer,Izcandar Champion of Winter,Izcandar the Banished,Malofur Mangrinder,Maxxenius,Outburst,Plagueroot,Rupture,Shulgrax,Sir Valorcrest,Tarbaz,The Nightmare Beast,The Pale Count,The Percht Queen,The Scourge of Oblivion,The Shatterer,Utua Stone Sting,Weakened Shlorg",Rashid,9000,11-18
Chasm Spawn Abdomen,Chasm Spawn,Yasir,240,70-99
Chasm Spawn Head,Chasm Spawn,Yasir,850,267-483
Chasm Spawn Tail,Chasm Spawn,Yasir,120,256-457
Cheese Cutter,"Corym Charlatan,Corym Skirmisher,Corym Vanguard",Yasir,50,72-95
Cheesy Figurine,"Cobra Scout,Corym Charlatan,Corym Skirmisher,Corym Vanguard",Yasir,150,51-72
Cluster of Crystallized Death,"Creepy Crawler,Crypt Construct,Crypt Fiend",Outro,9000,10-18
Cobra Crest,"Cobra Assassin,Cobra Scout,Cobra Vizier,Custodian,Gaffir,Guard Captain Quaid",Yasir,650,54-54
Colourful Feather,"Iks Yapunac,Terror Bird",Yasir,110,13-20
Colourful Snail Shell,"Nymph,Pixie,Swan Maiden",Yasir,250,61-99
Combat Knife,"Assassin,Enraged Soul,Foam Stalker,Ghost,Goggle Cake,Orger,Smuggler,Tarnished Spirit,Venerable Foam Stalker,Werehyaena,White Lion,Ancient Lion Knight,General Murius,The Horned Fox",Outro,1,17-36
Compound Eye,"Crawler,Hive Overseer,Insectoid Worker,Kollos,Spidris,Spidris Elite,Spitter,Swarmer,Waspoid,Chopper,Fleshslicer,Maw,Mindmasher,Rotspit,Shadowstalker,The Hungerer,The Mean Masher",Yasir,150,66-97
Cookbook,Crusader,Outro,870,11-17
Coral Branch,"Foam Stalker,Venerable Foam Stalker",Yasir,360,29-41
Cowbell,"Minotaur Amazon,Minotaur Cult Follower,Minotaur Cult Prophet",Outro,210,52-151
Crab Man Claws,Crape Man,Outro,550,50-67
Cracked Alabaster Vase,"Broken Shaper,Shaper Matriarch,Twisted Shaper",Yasir,180,56-56
Crawler's Essence,Branchy Crawler,Yasir,3700,12-20
Cry-Stal,Shrieking Cry-Stal,Outro,3200,32-50
Crystal Bone,Instable Breach Brood,Yasir,250,25-29
Crystal Crossbow,"Branchy Crawler,Cave Chimera,Cliff Strider,Crazed Summer Rearguard,Freakish Lost Soul,Haunted Hunter,Mould Phantom,Naga Archer,Orewalker,Quara Looter,Sulphur Spouter,Abyssador,Deathstrike,Gnomevil,Guard Captain Quaid,Mazzinor",Rashid,35000,12-20
Crystal Mace,"Animated Feather,Boar Man,Brachiodemon,Darklight Striker,Eyeless Devourer,Icecold Book,Infernal Phantom,Ironblight,Juvenile Bashmu,Knight's Apparition,Lavafungus,Roaming Dread,Sight of Surrender,Squid Warden,Stone Devourer,Streaked Devourer,Tunnel Tyrant,Walker,White Weretiger,Eradicator,Ice Horror,Melting Frozen Horror,Realityquake,Tamru The Black,The Baron from Below,Utua Stone Sting,Vashresamun,Yakchal,Zamulosh,Zushuka",Rashid,12000,17-19
Crystal of the Mitmah,"Mitmah Seer,Atab,Mitmah Vanguard",Yasir,280,102-165
Crystal Sword,"Afflicted Strider,Barbarian Skullhunter,Boar Man,Crystal Spider,Elf Overseer,Energy Elemental,Enraged Crystal Golem,High Voltage Elemental,Ice Golem,Ice Witch,Knowledge Elemental,Menacing Carnivor,Nighthunter,Pirat Cutthroat,Spitter,Squid Warden,Werelion,Werelioness,Hirintror,Madareth,Melting Frozen Horror,Rotspit,Shardhead,Yakchal,Zushuka",Rashid,600,26-50
Crystalline Armor,"Animated Feather,Armadile,Crystal Wolf,Diamond Servant,Diamond Servant Replica,Haunted Hunter,Icecold Book,Orewalker,Quara Raider,Roaming Dread,Sea Serpent,Squid Warden,Tunnel Tyrant,Turbulent Elemental,Blight Mariner,Eradicator,Ghazbaran,Ice Overlord,Mazzinor,Melting Frozen Horror,Michael the Stalwart,Omrafir,Prince Drazzak,Ravenous Hunger,Realityquake,Rupture,The Count of the Core,The Duke of the Depths,The Winter Bloom,Zamulosh",Rashid,16000,10-18
Crystalline Spikes,"Armadile,Crystalcrusher,Enraged Crystal Golem,Ironblight,Stone Devourer",Outro,440,102-165
Crystalline Sword,"Brachiodemon,Branchy Crawler,Cliff Strider,Harpy,Abyssador,Anomaly,Deathstrike,Deep Terror,Gnomevil,Gorzindel,Melting Frozen Horror,Outburst",Ninguem,0,10-20
Crystallized Death,"Creepy Crawler,Crypt Construct,Crypt Fiend,Crypt Mage,Cyclursus,Haunted Hunter,Roaming Dread,Walking Dread",Outro,3000,52-97
Cuirass Plate,"Raubritter Marksman,Raubritter Skirmisher,Adlerauge,Michael the Stalwart",Outro,1000,52-100
Curious Matter,"Breach Brood,Anomaly,Burster,Gorzindel,Rupture,The Souldespoiler",Yasir,430,54-92
Cursed Shoulder Spikes,"Lizard Chosen,The Voice of Ruin",Yasir,320,27-37
Damaged Armor Plates,"Falcon Knight,Falcon Paladin,Grand Canon Dominus,Grand Chaplain Gaunder,Grand Commander Soeren",Yasir,280,13-19
Damselfly Eye,"Dawnfly,Emerald Damselfly",Yasir,25,76-78
Dandelion Seeds,"Arctic Faun,Faun,Nymph,Pixie",Yasir,200,54-87
Dangerous Proto Matter,"Dreadful Disruptor,Reality Reaver",Yasir,300,91-92
Dark Obsidian Splinter,"Darklight Construct,Darklight Source,Darklight Striker",Yasir,4400,25-49
Dark Rosary,"Dark Monk,Priestess",Yasir,48,29-47
Dark Shield,"Bellicose Orger,Grim Reaper,Haunted Dragon,Pirate Corsair,Silencer,Thanatursus,Werelion,Ancient Lion Knight,Bretzecutioner,Michael the Stalwart,The Handmaiden",Rashid,400,25-44
Darklight Basalt Chunk,Walking Pillar,Yasir,3800,49-49
Darklight Core,"Converter,Darklight Construct,Darklight Emitter,Darklight Matter,Darklight Source,Darklight Striker,Walking Pillar,Wandering Pillar",Outro,4100,30-48
Darklight Matter,"Converter,Darklight Matter",Outro,5500,11-20
Dead Weight,Choking Fear,Yasir,450,78-111
Deadly Fangs,"Cyclursus,Haunted Hunter",Outro,5500,50-93
Decayed Finger Bone,"Oozing Carcass,Sopping Carcass",Outro,5100,11-20
Deepling Breaktime Snack,"Deepling Guard,Deepling Tyrant",Yasir,90,53-97
Deepling Claw,"Deepling Guard,Deepling Tyrant",Yasir,430,29-42
Deepling Guard Belt Buckle,"Deepling Guard,Deepling Tyrant",Yasir,230,42-50
Deepling Ridge,"Deathling Scout,Deathling Spellsinger,Deepling Elite,Deepling Warrior,Neutral Deepling Warrior",Yasir,360,101-185
Deepling Scales,"Deepling Brawler,Deepling Worker,Shark",Yasir,80,31-44
Deeptags,"Deathling Scout,Deathling Spellsinger,Deepling Elite,Deepling Warrior,Neutral Deepling Warrior",Yasir,290,152-199
Deepworm Jaws,Deepworm,Yasir,500,72-95
Deepworm Spike Roots,Deepworm,Yasir,650,112-179
Deepworm Spikes,Deepworm,Yasir,800,30-48
Demon Root,"Rootthing Amber Shaper,Rootthing Bug Tracker,Rootthing Nutshell",Outro,950,12-16
Demonic Matter,"Brinebrute Inferniarch,Broodrider Inferniarch,Gorger Inferniarch,Hellhunter Inferniarch,Sineater Inferniarch,Spellreaper Inferniarch,Gralvalon,Malvaroth,Twisterror",Ninguem,0,14-18
Diamond Sceptre,"Animated Feather,Blemished Spawn,Cursed Book,Enfeebled Silencer,Girtablilu Warrior,Gore Horn,Hulking Carnisylvan,Ice Witch,Icecold Book,Juvenile Bashmu,Massive Earth Elemental,Nightmare Scion,Ogre Ruffian,Poisonous Carnisylvan,Silencer,Squid Warden,Swan Maiden,Varnished Diremaw,Annihilon,The Blazing Time Guardian,The Freezing Time Guardian,The Time Guardian,Zavarash",Rashid,3000,61-82
Diremaw Brainpan,Diremaw,Yasir,350,87-87
Diremaw Legs,Diremaw,Yasir,270,59-100
Dirty Turban,"Blue Djinn,Crypt Defiler,Grave Robber,Green Djinn,Nomad,Nomad (Blue),Nomad (Female)",Yasir,120,29-45
Double Axe,"Behemoth,Cyclops Smith,Diabolic Imp,Dragon,Dwarf Guard,Fire Devil,Memory of a Dwarf,Minotaur Guard,Orger,Quara Predator,Quara Predator Scout,Valkyrie,Brutus Bloodbeard,Demodras,Ferumbras,General Murius,Ghazbaran,Golgordan,Grand Mother Foulscale,Latrivan,Lethal Lissy,Morgaroth,Mr. Punish,Orshabaal,Ron The Ripper,Stonecracker,Tazhadur,The Horned Fox",Outro,260,31-50
Dowser,"Leaf Golem,Wilting Leaf Golem,Dazed Leaf Golem",Yasir,35,51-97
Dragolisk Eye,Dragolisk,Yasir,690,65-100
Dragolisk Poison Gland,Dragolisk,Yasir,475,52-93
Dragon Hammer,"Bulltaur Brute,Dragon,Orc Warlord,Demodras,Dire Penguin,Grand Mother Foulscale,Orshabaal,Tazhadur",Djinn,2000,10-18
Dragon Priest's Wandtip,"Lizard Dragon Priest,Flamecaller Zazrak",Yasir,175,37-50
Dragon Slayer,"Dragon Lord,Frost Dragon,Haunted Dragon,Undead Dragon,Dragon Hoard,Inkwing,Ushuriel",Rashid,15000,11-18
Dragon Tongue,"Ice Dragon,Wardragon,Eldritch Dragon Lord,Gelidrazah the Frozen,Kalyassa,Tazhadur,Zorvorax",Yasir,550,50-100
Dragon's Tail,"Dragolisk,Dragon,Dragon Hatchling",Yasir,100,62-62
Draken Wristbands,"Draken Elite,Paiz the Pauperizer",Yasir,430,66-97
Dream Essence Egg,"Crazed Summer Rearguard,Crazed Summer Vanguard,Crazed Winter Rearguard,Crazed Winter Vanguard,Insane Siren,Soul-broken Harbinger",Yasir,205,58-94
Dung Ball,"Insectoid Worker,Mindmasher",Yasir,130,57-93
Earflap,"Corym Charlatan,Corym Skirmisher,Corym Vanguard",Yasir,40,79-99
Elder Bonelord Tentacle,Elder Bonelord,Yasir,150,63-99
Elven Astral Observer,"Crazed Summer Vanguard,Crazed Winter Rearguard,Elf Arcanist,Dharalion",Yasir,90,289-483
Emerald Tortoise Shell,Emerald Tortoise,Yasir,2150,60-91
Empty Honey Glass,"Black Sphinx Acolyte,Burning Gladiator,Priestess of the Wild Sun",Yasir,270,12-20
Encrypted Notes,Bulltaur Alchemist,Yasir,620,27-49
Energy Ball,"Brain Squid,Dread Intruder,Energetic Book,Outburst",Yasir,300,55-92
Ensouled Essence,"Flimsy Lost Soul,Freakish Lost Soul,Mean Lost Soul",Yasir,820,29-49
Essence of a Bad Dream,"Arachnophobica,Nightmare,Nightmare Scion,Thanatursus,Tormentor",Yasir,360,362-429
Exalted Core,This item cannot be obtained from monsters.,Ninguem,0,5-11
Execowtioner Mask,Execowtioner,Outro,240,27-42
Eye of a Deepling,"Deathling Scout,Deathling Spellsinger,Deepling Brawler,Deepling Elite,Deepling Guard,Deepling Master Librarian,Deepling Scout,Deepling Spellsinger,Deepling Tyrant,Deepling Warrior,Deepling Worker,Shark,Reflection of Obujos",Yasir,150,101-178
Eye of a Weeper,Weeper,Yasir,650,28-50
Eye of Corruption,Draken Abomination,Yasir,390,53-97
Eyeless Devourer Legs,Eyeless Devourer,Yasir,650,31-45
Eyeless Devourer Maw,Eyeless Devourer,Yasir,420,50-99
Eyeless Devourer Tongue,Eyeless Devourer,Yasir,900,12-20
Fafnar Symbol,"Burning Gladiator,Priestess of the Wild Sun",Yasir,950,33-44
Falcon Crest,"Falcon Knight,Falcon Paladin,Grand Canon Dominus,Grand Chaplain Gaunder,Grand Commander Soeren",Yasir,650,11-20
Fig Leaf,"Barkless Devotee,Barkless Fanatic,Ravenous Hunger",Yasir,200,26-50
Fir Cone,"Grove Guardian,Leaf Golem,Wilting Leaf Golem,Dazed Leaf Golem",Yasir,25,69-92
Fire Axe,"Angry Demon,Brachiodemon,Demon,Feral Sphinx,Guardian of Tales,Hellfire Fighter,Infernal Phantom,Insane Siren,Lava Golem,Lost Basher,Lost Berserker,Lost Exile,Lost Husher,Mean Lost Soul,Rage Squid,Sulphider,Vexclaw,Weeper,Arbaziloth,Arbaziloth (Hard),Essence of Malice,Ferumbras,Furyosa,Golgordan,Latrivan,Mahrdis,Mazoran,Minishabaal,Morgaroth,Orshabaal,The Duke of the Depths,The Imperor,Xogixath",Djinn,8000,12-20
Flask of Demonic Blood,"Betrayed Wraith,Burning Book,Dark Torturer,Dawnfire Asura,Diabolic Imp,Falcon Knight,Floating Savant,Frost Flower Asura,Fury,Grim Reaper,Grimeleech,Hand of Cursed Fate,Hellflayer,Hellhound,Juggernaut,Midnight Asura,Nightmare,True Dawnfire Asura,True Frost Flower Asura,True Midnight Asura,Fluffy,Furyosa,Grand Chaplain Gaunder,Kerberos,Kusuma,Mazoran,Plagirath,Preceptor Lazare,Ragiaz,Razzagorn,Shulgrax,Tarbaz,The Blazing Rose,The Diamond Blossom,The Flaming Orchid,The Lily of Night,The Moonlight Aster,The Winter Bloom,Tormentor,Zamulosh",Ninguem,0,435-477
Flotsam,"Foam Stalker,Venerable Foam Stalker",Yasir,330,50-94
Focus Cape,"Afflicted Strider,Converter,Dawnfire Asura,Draken Spellweaver,Girtablilu Warrior,Harpy,Lavafungus,Lizard Dragon Priest,Lumbering Carnivor,Nightmare Scion,Pirat Cutthroat,Reality Reaver,Sea Serpent,Stabilizing Reality Reaver,Tremendous Tyrant,True Dawnfire Asura,Wyrm,Amenef the Burning,Captain Jones,Hellgorak,Raging Mage,Reflection of a Mage,Sister Hetai",Outro,6000,10-19
Fox Paw,"Fox,Werefox,Black Vixen",Yasir,100,120-189
Frazzle Tongue,"Animated Guzzlemaw,Frazzlemaw,Guzzlemaw,Nibblemaw,Weakened Frazzlemaw,Mawhawk,Reflection of Mawhawk",Yasir,700,56-85
Frozen Lightning,"Brain Squid,Dread Intruder,Anomaly,Rupture,Mazzinor",Yasir,270,65-84
